Stock,Entry Date,Entry Price,Exit Date,Exit Price,P&L (%),Days Held,Outcome
360ONE.NS,2020-07-30,209.53,2020-08-11,230.48,10.0,12,Target Hit
360ONE.NS,2020-08-11,229.01,2020-08-12,251.91,10.0,1,Target Hit
360ONE.NS,2020-08-17,230.81,2020-08-31,219.27,-5.0,14,Stop Loss
360ONE.NS,2021-08-06,359.27,2021-08-06,341.31,-5.0,0,Stop Loss
360ONE.NS,2021-08-31,366.48,2021-09-21,348.16,-5.0,21,Stop Loss
360ONE.NS,2021-10-18,382.17,2021-10-22,363.06,-5.0,4,Stop Loss
360ONE.NS,2022-01-03,334.14,2022-01-12,367.55,10.0,9,Target Hit
360ONE.NS,2022-03-31,391.62,2022-04-19,430.78,10.0,19,Target Hit
360ONE.NS,2022-02-25,350.88,2022-03-03,333.34,-5.0,6,Stop Loss
360ONE.NS,2022-03-11,350.66,2022-03-14,333.13,-5.0,3,Stop Loss
360ONE.NS,2022-05-02,402.75,2022-05-09,382.61,-5.0,7,Stop Loss
360ONE.NS,2022-05-18,370.07,2022-05-19,351.57,-5.0,1,Stop Loss
360ONE.NS,2022-09-06,398.77,2022-09-16,438.65,10.0,10,Target Hit
360ONE.NS,2023-02-01,451.89,2023-02-21,429.3,-5.0,20,Stop Loss
360ONE.NS,2023-06-15,427.5,2023-06-23,406.12,-5.0,8,Stop Loss
360ONE.NS,2023-06-01,409.61,2023-06-23,450.57,10.0,22,Target Hit
360ONE.NS,2023-11-15,547.25,2023-12-04,601.98,10.0,19,Target Hit
360ONE.NS,2024-04-03,732.18,2024-04-03,695.57,-5.0,0,Stop Loss
360ONE.NS,2024-04-03,702.29,2024-04-18,772.52,10.0,15,Target Hit
360ONE.NS,2024-08-16,1068.16,2024-09-26,1014.75,-5.0,41,Stop Loss
360ONE.NS,2024-08-13,1047.59,2024-08-14,995.21,-5.0,1,Stop Loss
360ONE.NS,2024-12-23,1257.9,2024-12-24,1195.01,-5.0,1,Stop Loss
360ONE.NS,2025-01-15,1144.66,2025-01-27,1087.43,-5.0,12,Stop Loss
360ONE.NS,2025-02-19,917.07,2025-02-19,871.22,-5.0,0,Stop Loss
360ONE.NS,2025-04-07,861.05,2025-04-07,818.0,-5.0,0,Stop Loss
360ONE.NS,2025-05-12,931.31,2025-05-16,1024.44,10.0,4,Target Hit
3MINDIA.NS,2021-02-26,21844.24,2021-03-02,24028.66,10.0,4,Target Hit
3MINDIA.NS,2021-04-19,26407.49,2021-04-19,25087.12,-5.0,0,Stop Loss
3MINDIA.NS,2022-09-16,22552.93,2022-11-07,21425.28,-5.0,52,Stop Loss
3MINDIA.NS,2023-12-29,36967.49,2023-12-29,35119.12,-5.0,0,Stop Loss
3MINDIA.NS,2025-04-11,28892.62,2025-06-19,35119.12,21.55,69,Stop Loss
ABB.NS,2020-08-14,931.23,2020-09-08,884.67,-5.0,25,Stop Loss
ABB.NS,2020-11-13,977.6,2020-11-20,1075.36,10.0,7,Target Hit
ABB.NS,2021-06-23,1749.41,2021-07-09,1661.94,-5.0,16,Stop Loss
ABB.NS,2021-11-29,2001.82,2021-12-09,2202.0,10.0,10,Target Hit
ABB.NS,2022-03-03,2186.7,2022-03-07,2077.36,-5.0,4,Stop Loss
ABB.NS,2022-02-25,2108.28,2022-03-23,2002.87,-5.0,26,Stop Loss
ABB.NS,2022-02-25,2104.37,2022-03-23,1999.15,-5.0,26,Stop Loss
ABB.NS,2022-03-30,2057.81,2022-05-09,2263.59,10.0,40,Target Hit
ABB.NS,2024-08-07,7673.06,2024-10-09,8440.37,10.0,63,Target Hit
ABB.NS,2025-04-15,5166.29,2025-04-23,5682.92,10.0,8,Target Hit
ACC.NS,2020-09-14,1302.39,2020-09-24,1237.27,-5.0,10,Stop Loss
ACC.NS,2022-04-05,2109.75,2022-04-19,2004.26,-5.0,14,Stop Loss
ACC.NS,2024-11-27,2220.45,2024-11-27,2109.43,-5.0,0,Stop Loss
ACC.NS,2025-04-11,1997.56,2025-04-29,1897.68,-5.0,18,Stop Loss
ACMESOLAR.NS,2024-11-27,262.91,2024-12-04,289.2,10.0,7,Target Hit
ACMESOLAR.NS,2025-02-06,235.12,2025-02-10,223.36,-5.0,4,Stop Loss
ACMESOLAR.NS,2025-01-30,203.43,2025-01-31,223.77,10.0,1,Target Hit
ACMESOLAR.NS,2025-03-06,204.1,2025-03-12,193.9,-5.0,6,Stop Loss
ACMESOLAR.NS,2025-04-22,215.17,2025-05-14,236.69,10.0,22,Target Hit
ACMESOLAR.NS,2025-04-08,195.47,2025-04-22,215.02,10.0,14,Target Hit
ACMESOLAR.NS,2025-05-07,216.6,2025-05-14,238.26,10.0,7,Target Hit
ACMESOLAR.NS,2025-05-12,219.43,2025-05-14,241.37,10.0,2,Target Hit
ACMESOLAR.NS,2025-06-17,248.83,2025-06-19,241.37,-3.0,2,Target Hit
AIAENG.NS,2020-07-17,1655.82,2020-08-11,1573.03,-5.0,25,Stop Loss
AIAENG.NS,2020-11-23,1803.97,2020-12-02,1984.37,10.0,9,Target Hit
AIAENG.NS,2022-04-26,1899.89,2022-05-09,1804.9,-5.0,13,Stop Loss
AIAENG.NS,2022-03-17,1736.88,2022-03-28,1650.04,-5.0,11,Stop Loss
AIAENG.NS,2022-06-16,2152.01,2022-06-16,2044.41,-5.0,0,Stop Loss
AIAENG.NS,2022-08-30,2567.8,2022-09-27,2439.41,-5.0,28,Stop Loss
